ent,nom_ent,clave_mun,nom_mun,pobtot_ajustada,pobreza,pobreza_e,pobreza_m,vul_car,vul_ing,npnv,ic_rezedu,ic_asalud,ic_segsoc,ic_cv,ic_sbv,ic_ali,carencias,carencias3,plb,plb_m,rankin_p,rankin_pe,N_pobreza,N_pobreza_e,N_pobreza_m,N_vul_car,N_vul_ing,N_npnv,N_ic_rezedu,N_ic_asalud,N_ic_segsoc,N_ic_cv,N_ic_sbv,N_ic_ali,N_carencias,N_carencias3,N_plb,N_plb_m,perrankin_p,perrankin_pe,cppobreza,cppobreza_e,cppobreza_m,cpvul_car,cpic_rezedu,cpic_asalud,cpic_segsoc,cpic_cv,cpic_sbv,cpic_ali,cpcarencias,cpcarencias3,cpplb,cpplbm,pobtot_00,pobtot_05,pobtot_10,porc_pob_15_analfa00,porc_pob_15_analfa05,porc_pob_15_analfa10,porc_pob614_noasiste00,porc_pob614_noasiste05,porc_pob614_noasiste10,porc_pob15_basicainc00,porc_pob15_basicainc05,porc_pob15_basicainc10,porc_pob_snservsal00,porc_pob_snservsal05,porc_pob_snservsal10,porc_vivpisotierra00,porc_vivpisotierra05,porc_vivpisotierra10,porc_vivsnsan00,porc_vivsnsan05,porc_vivsnsan10,porc_snaguaent00,porc_snaguaent05,porc_snaguaent10,porc_vivsndren00,porc_vivsndren05,porc_vivsndren10,porc_vivsnenergia00,porc_vivsnenergia05,porc_vivsnenergia10,porc_vivsnlavadora00,porc_vivsnlavadora05,porc_vivsnlavadora10,porc_vivsnrefri00,porc_vivsnrefri05,porc_vivsnrefr10,irez_soc00,irez_soc05,irez_soc10,gdo_rezsoc00,gdo_rezsoc05,gdo_rezsoc10,l_ocupnac00,l_ocupnac05,l_ocupnac10,p_rez_edu_90,p_rez_edu_00,p_rez_edu_10,p_ser_sal_00,p_ser_sal_10,p_viv_pisos_90,p_viv_pisos_00,p_viv_pisos_10,p_viv_muros_90,p_viv_muros_00,p_viv_muros_10,p_viv_techos_90,p_viv_techos_00,p_viv_techos_10,p_viv_hacin_90,p_viv_hacin_00,p_viv_hacin_10,p_viv_agu_entub_90,p_viv_agu_entub_00,p_viv_agu_entub_10,p_viv_dren_90,p_viv_dren_00,p_viv_dren_000,p_viv_elect_90,p_viv_elect_00,p_viv_elect_10,pobreza_alim_90,pobreza_alim_00,pobreza_alim_10,pobreza_cap_90,pobreza_cap_00,pobreza_cap_10,pobreza_patrim_90,pobreza_patrim_00,pobreza_patrim_10,gini_90,gini_00,gini_10
1,Aguascalientes,1001,Aguascalientes,794304,0.305311,0.022645,0.282666,0.279833,0.084191,0.330665,0.149706,0.240345,0.417999,0.047212,0.032142,0.176656,0.585144,0.100588,0.389502,0.103139,2351,2385,242510,17987,224523,222273,66873,262648,118912,190907,332018,37501,25530,140318,464782,79897,309383,81924,22,145,1.905452,3.421615,1.784363,1.723945,2.111344,2.327308,2.039859,2.64207,2.785471,2.350738,1.818455,3.311549,1.495813,1.81455,643419,723043,797010,3.8562,3.185919,2.57861,5.61393,3.832044,4.11986,42.97832,36.59555,30.90856,35.56874,26.49898,22.39257,2.32312,1.48556,1.29109,3.31002,3.55245,0.83403,2.13923,1.994297,1.54025,2.6767,1.332242,0.95588,1.32557,2.806767,0.33222,19.36242,15.39047,15.126,12.14456,7.636868,6.39426,-1.937437,-1.636908,-1.558484,Muy bajo,Muy bajo,Muy bajo,2415,2421,2415,18.8,14.6,12.69179,35.8,18.84905,5,2.2,0.70206,1.3,0.5,0.41356,5.1,0.5,0.11176,18,9,3.34619,3.3,1.7,2.14454,7.7,3.1,1.081,3.3,1.1,0.35756,13.5,7.6,11.8057,20.4,12.7,18.4746,43.4,33.7,41.9004,0.473,0.425,0.4226281
1,Aguascalientes,1002,Asientos,48592,0.671112,0.080407,0.590705,0.224394,0.055576,0.048918,0.212227,0.15514,0.780036,0.110623,0.115789,0.31651,0.895506,0.189786,0.726688,0.322028,1340,1915,32611,3907,28704,10904,2701,2377,10313,7539,37903,5375,5626,15380,43514,9222,35311,15648,370,849,1.938898,3.454206,1.734365,1.733,2.504305,2.55183,1.946811,3.043817,3.020979,2.667471,1.887565,3.382552,1.790992,1.945454,37763,40547,45492,7.43317,6.748812,5.49744,9.2094,5.490578,3.63248,67.29678,58.29518,49.7641,67.21129,23.23723,13.76945,10.22556,7.120962,2.79804,22.72044,13.45202,8.70391,9.92481,4.31502,3.37764,20.95694,11.82504,8.46407,6.27478,3.996699,2.52823,38.40055,29.29733,26.99111,42.4607,26.12591,20.82542,-0.8655937,-0.9564168,-1.014475,Muy bajo,Muy bajo,Muy bajo,1898,2000,2074,33,27.5,22.34895,67.7,12.26153,14.8,10.3,2.79561,1,0.3,0.22538,9.6,1.6,0.59418,32.9,20.7,8.93093,10.1,8.6,2.45413,52,20.8,8.40144,13.7,5.4,4.3209,30.6,22.1,21.9933,39.9,29,30.9808,64.2,48.9,59.1758,0.379,0.533,0.3438793
1,Aguascalientes,1003,Calvillo,53104,0.613605,0.072412,0.541193,0.294286,0.029213,0.062896,0.273612,0.208126,0.80052,0.098801,0.095442,0.203965,0.907891,0.190013,0.642819,0.265033,1601,1989,32585,3845,28740,15628,1551,3340,14530,11052,42511,5247,5068,10831,48213,10090,34136,14074,372,860,1.904336,3.374609,1.708036,1.738271,2.378428,2.438658,1.923021,3.081348,3.001547,2.847499,1.850954,3.317859,1.818049,1.976999,51291,50183,54136,8.19624,8.147171,6.16559,12.16249,8.93428,6.15399,72.28516,63.99924,57.00623,82.47256,26.86169,17.11061,4.8762,2.926481,2.54792,6.72612,3.426124,1.51161,6.01461,2.67666,2.70376,6.25178,1.668451,1.4259,2.83654,1.864739,1.08306,35.63229,23.02819,19.99377,26.13604,11.88437,9.05408,-1.000751,-1.122184,-1.101936,Muy bajo,Muy bajo,Muy bajo,2008,2143,2145,35.1,30.4,28.54419,83.4,16.34637,8.7,4.7,1.89316,1,0.2,0.04576,2.7,0.3,0,33.3,19,9.22939,7.3,5.3,4.06769,21,8.5,3.62495,7.2,2.3,1.26973,30.2,24.2,19.2668,39.5,33.1,28.2592,63.9,57.9,56.5049,0.414,0.465,0.3867809
1,Aguascalientes,1004,Cosío,14101,0.528005,0.04769,0.480315,0.271286,0.077093,0.123617,0.20889,0.140717,0.658314,0.114435,0.05693,0.190118,0.79929,0.140626,0.605097,0.20854,1930,2196,7445,672,6773,3825,1087,1743,2946,1984,9283,1614,803,2681,11271,1983,8532,2941,1274,1701,1.76541,3.421463,1.601728,1.6123,2.118768,2.495737,1.796453,2.932659,2.960497,2.788465,1.713273,3.355825,1.541247,1.728584,12619,13687,15042,6.21282,6.70957,4.31758,7.48181,4.179861,3.16436,62.00925,53.4235,43.32924,60.45645,26.82107,13.90772,6.01966,4.824259,3.4632,13.59541,9.200551,5.94517,8.51761,1.137147,2.0202,8.31286,5.582357,3.29004,2.90745,2.06754,2.10678,42.42424,32.63267,32.81385,40.29484,25.77533,20.8658,-1.142533,-1.078457,-1.133137,Muy bajo,Muy bajo,Muy bajo,2087,2103,2172,31.7,24.2,18.77563,60.6,10.35177,19.2,6.1,1.17977,0.2,0.2,0.23739,4.1,1.2,0,35.2,22.5,9.33026,3.8,7.4,1.54665,34.7,9.6,2.19535,6.5,2.3,1.70491,26.4,14.9,14.3032,35.2,21,22.3861,59.7,40.1,51.1645,0.392,0.541,0.3449842
1,Aguascalientes,1005,Jesús María,101379,0.453385,0.06084,0.392545,0.262629,0.082799,0.201187,0.205781,0.165678,0.52617,0.129365,0.045564,0.253941,0.716014,0.157776,0.536184,0.194693,2108,2072,45964,6168,39796,26625,8394,20396,20862,16796,53343,13115,4619,25744,72589,15995,54358,19738,239,574,1.953392,3.403284,1.728852,1.67717,2.221982,2.390123,2.023067,2.764593,3.375908,2.564959,1.852616,3.320841,1.652841,1.993144,64097,82623,99590,6.62415,5.327423,3.74449,9.60053,5.689278,4.91442,63.9477,51.94471,43.03718,46.96632,30.62343,22.33256,6.92401,2.719016,2.4818,8.59813,4.349298,2.00386,5.23364,3.39595,2.64404,6.96465,2.397473,1.67938,3.28322,3.418514,1.18828,28.35433,19.96954,18.91169,23.64892,11.47966,9.60712,-1.376062,-1.210941,-1.296495,Muy bajo,Muy bajo,Muy bajo,2225,2209,2288,31.6,24.3,17.74156,47.4,12.02651,13.6,7.3,1.03659,1.1,0.6,0,6.4,1.2,0.06843,40.1,22.3,10.49767,8.1,4.3,1.81378,22.9,10.8,2.22127,7.9,2.7,2.39693,27.9,15.9,15.0851,36.6,22.6,22.14,60.6,42.2,45.7039,0.391,0.469,0.4580832
1,Aguascalientes,1006,Pabellón de Arteaga,43783,0.469583,0.041418,0.428165,0.236196,0.091837,0.202384,0.188249,0.185025,0.541386,0.078246,0.052291,0.212435,0.705779,0.140755,0.56142,0.197937,2083,2255,20560,1813,18746,10341,4021,8861,8242,8101,23703,3426,2289,9301,30901,6163,24581,8666,605,1298,1.852658,3.308408,1.711987,1.639168,2.208498,2.494931,1.930026,2.652702,2.928986,2.453767,1.781906,3.271363,1.550266,1.712882,34296,38912,41862,6.24817,5.577623,4.07382,7.5752,5.350898,4.38778,52.87777,44.9837,38.83803,47.61197,29.69778,18.90497,3.71094,1.905104,1.54387,8.54868,3.774263,1.95911,3.54567,2.743829,4.54642,6.05469,2.68392,2.023,2.62921,2.096813,1.04344,27.94471,20.38102,18.9523,28.71094,14.01869,12.5213,-1.516934,-1.321357,-1.343856,Muy bajo,Muy bajo,Muy bajo,2284,2274,2315,26.5,21,16.5344,48.2,14.95476,9.2,3.1,1.30162,1.3,0.1,0.12132,4.2,0.3,0.27296,30.9,17,6.46767,5.1,2.2,2.10282,13.4,11,4.2881,5,1.7,0.39175,24.6,16.4,15.8581,33.7,23.8,24.1609,59.3,47.3,50.8694,0.429,0.466,0.4169032
1,Aguascalientes,1007,Rincón de Romos,51284,0.561362,0.091634,0.469728,0.199306,0.075009,0.164323,0.201737,0.202678,0.634691,0.140901,0.067834,0.274918,0.760668,0.204107,0.636371,0.261061,1824,1839,28789,4699,24090,10221,3847,8427,10346,10394,32549,7226,3479,14099,39010,10467,32636,13388,425,736,2.097466,3.55273,1.813388,1.730498,2.449004,2.566553,2.124107,3.177532,3.728333,2.896806,2.001869,3.435342,1.850799,2.169789,41655,45471,49156,7.03785,6.485243,4.63764,7.098,4.297441,3.36347,53.81335,46.56661,39.01059,56.55503,30.57553,19.50118,6.26907,3.975116,3.61979,11.03764,6.938001,3.99892,7.52798,3.785323,3.80033,9.52441,4.692113,3.03304,3.70041,2.8469,0.98393,36.44456,26.78195,25.60029,32.59156,17.5348,15.32768,-1.315718,-1.197187,-1.255189,Muy bajo,Muy bajo,Muy bajo,2183,2201,2260,27.1,21.4,17.8,56.9,15.71274,13.1,6.7,2.15134,0.9,0.2,0.05721,5.8,1,0,36.9,22.1,11.68231,8,6.1,1.52148,28.6,10.7,3.34598,7.6,3.2,0.59333,28.7,20.8,23.4093,37.9,28.3,33.1917,62.3,50.5,60.5983,0.458,0.486,0.4283274
1,Aguascalientes,1008,San José de Gracia,7826,0.666194,0.073408,0.592786,0.208605,0.03761,0.087591,0.167288,0.122939,0.795568,0.082001,0.12249,0.237411,0.874799,0.154604,0.703804,0.346463,1359,1978,5214,574,4639,1633,294,685,1309,962,6226,642,959,1858,6846,1210,5508,2711,1480,1733,1.790842,3.354936,1.597443,1.600532,2.323703,2.461162,1.774927,3.196007,2.88761,2.678213,1.746339,3.325596,1.695528,1.832842,7244,7631,8443,4.95747,5.154194,3.42129,9.68444,4.780011,3.70995,61.67679,53.65478,43.98544,69.25732,18.17586,9.53453,4.2098,3.599756,1.4862,32.50518,19.89018,10.72187,5.245,5.43014,5.04246,28.64044,16.53447,9.34183,6.07315,4.392922,2.01699,52.51898,37.1568,31.36943,44.16839,23.36791,19.69214,-0.8040323,-1.005023,-1.097275,Muy bajo,Muy bajo,Muy bajo,1854,2032,2142,28.2,22.2,16.97183,70.1,9.66197,5.8,4,0.98592,1.5,0.1,0.11268,3.6,0.6,0,33.9,20.3,9.12676,15.7,4.3,4.67606,52.4,27.7,8.78873,12.2,5.6,2.02817,27.3,23.8,19.2442,35.7,30.7,27.3381,59.4,49.1,53.0218,0.403,0.567,0.3876332
1,Aguascalientes,1009,Tepezalá,22027,0.586592,0.060338,0.526255,0.264342,0.075369,0.073697,0.226188,0.118798,0.706706,0.142894,0.091638,0.195187,0.850934,0.156365,0.661961,0.257354,1712,2079,12921,1329,11592,5823,1660,1623,4982,2617,15567,3148,2019,4299,18744,3444,14581,5669,899,1440,1.800297,3.439028,1.612781,1.611142,2.11606,2.624315,1.829514,2.947798,2.923145,2.805388,1.740922,3.384956,1.595939,1.792154,16508,17372,19668,7.0961,6.306391,5.8509,8.24945,5.220588,4.06812,67.29351,59.23856,52.21768,67.33099,23.90053,15.4515,6.53553,3.926991,2.42915,18.75,10.03872,5.80297,5.74239,3.318584,2.45164,16.65609,6.747787,4.65587,4.18782,2.986726,1.66442,37.81726,28.29093,28.2726,42.00508,23.14712,19.23077,-0.9847965,-1.045346,-1.037171,Muy bajo,Muy bajo,Muy bajo,1993,2067,2091,32.5,27.1,19.95962,67.8,9.11156,7.6,6.5,2.89248,0.4,0.2,0.2524,5.6,1.1,0.15144,35.7,22.6,10.41393,12.9,4.8,0.56032,31.1,21.6,7.69813,6.6,3.4,0.70167,27.7,21,18.6996,36.5,27.9,27.7481,60.8,47.9,56.0409,0.386,0.53,0.3481505
1,Aguascalientes,1010,El Llano,17634,0.606385,0.095449,0.510936,0.286064,0.039879,0.067673,0.270747,0.190873,0.757939,0.112781,0.139447,0.391749,0.892448,0.27078,0.646264,0.254028,1638,1803,10693,1683,9010,5044,703,1193,4774,3366,13365,1989,2459,6908,15737,4775,11396,4480,1044,1330,2.193673,3.497685,1.952351,1.858387,2.661519,2.855444,2.201899,3.186084,3.41369,2.817009,2.088115,3.437474,2.059672,2.271901,15327,17115,18828,8.57368,7.382615,5.74109,9.65281,5.498282,4.82512,69.01758,60.04107,50.24663,60.78815,28.51884,17.4368,11.22995,4.476351,2.62398,26.80481,15.39977,9.67742,5.71524,3.969594,4.62205,24.6992,13.76689,8.64227,8.28877,5.011261,3.56283,47.42647,33.33333,31.7766,46.7246,24.74662,22.00289,-0.755006,-0.8868405,-0.8853644,Muy bajo,Muy bajo,Muy bajo,1815,1933,1943,35.9,27.6,24.86393,60.6,13.45107,22,11.5,1.99378,0.3,0.2,0.33878,16.5,1.5,0.37765,30.5,20.5,10.55204,18.3,4.6,4.32634,64.8,26.8,8.85272,15.6,7.8,4.37632,29.1,17.8,19.2577,38.2,24.4,27.866,62.4,43.5,56.3481,0.377,0.51,0.3236851
