mun,state
MEXICALI ,BCN
TECATE ,BCN
TIJUANA ,BCN
ENSENADA ,BCN
JUAREZ ,CHI
BUENAVENTURA ,CHI
PIEDRAS NEGRAS ,COA
MADERA ,CHI
CHIHUAHUA ,CHI
CUAUHTEMOC ,CHI
GUAYMAS ,SON
MULEGE ,BCS
VALLE DE ZARAGOZA ,CHI
NAVOJOA ,SON
SATEVO ,CHI
ENSENADA ,BCN
ENSENADA ,BCN
MULEGE ,BCS
RIO BRAVO ,TAM
MATAMOROS ,TAM
MONTERREY ,NLN
REYNOSA ,TAM
RODEO ,DGO
CULIACAN ,SIN
GUADALAJARA ,JAL
SAN JUAN DEL RIO ,DGO
GUADALUPE VICTORIA ,DGO
SAN DIMAS ,DGO
ABASOLO ,GTO
CUAJINICUILAPA ,GRO
PANUCO DE CORONADO ,DGO
CHILPANCINGO DE LOS BRAVO ,GRO
OSTUACAN ,CHS
TILA ,CHS
TOTONTEPEC VILLA DE MORELOS ,OAX
CAMOCUAUTLA ,PUE
DURANGO ,DGO
POANAS ,DGO
SOMBRERETE ,ZAC
MAZATLAN ,SIN
TECUALA ,NAY
"CABOS, LOS ",BCS
RUIZ ,NAY
ACAPONETA ,NAY
VILLA DE REYES ,SLP
TUXPAN ,NAY
ROSAMORADA ,NAY
TAMPICO ,TAM
VILLA GARCIA ,ZAC
PABELLON DE ARTEAGA ,AGS
COMPOSTELA ,NAY
BENITO JUAREZ ,QTR
LEON ,GTO
PE¾AMILLER ,QRO
AGUILILLA ,MIC
HUEJUTLA DE REYES ,HGO
COYOACAN ,D-F
ZITLALTEPEC DE TRINIDAD SANCHEZ S. ,TLA
MALTRATA ,VER
NOGALES ,VER
CUAJIMALPA DE MORELOS ,D-F
ANGAMACUTIRO ,MIC
PUERTO VALLARTA ,JAL
ARANDAS ,JAL
ALVARO OBREGON ,D-F
IZTAPALAPA ,D-F
PENJAMILLO ,MIC
CUAUTITLAN IZCALLI ,MEX
JUAREZ HIDALGO ,HGO
TLATLAUQUITEPEC ,PUE
PACHUCA DE SOTO ,HGO
"PAZ, LA ",MEX
TEZIUTLAN ,PUE
TLAQUEPAQUE ,JAL
CHIGNAHUAPAN ,PUE
HUAUTLA ,HGO
OCOTLAN ,JAL
SAN FELIPE DEL PROGRESO ,MEX
SILAO ,GTO
SOLIDARIDAD ,QTR
POZA RICA DE HIDALGO ,VER
JOSE SIXTO VERDUZCO ,MIC
TUXPAM ,VER
HUAUCHINANGO ,PUE
QUERETARO ,QRO
METZTITLAN ,HGO
SALAMANCA ,GTO
MARTINEZ DE LA TORRE ,VER
PURUANDIRO ,MIC
OTHON P. BLANCO ,QTR
JUAN GALINDO ,PUE
COAPILLA ,CHS
NEZAHUALCOYOTL ,MEX
"CONCORDIA, LA ",CHS
OCOZOCOAUTLA DE ESPINOSA ,CHS
VALLE DE CHALCO ,MEX
APATZINGAN ,MIC
MILPA ALTA ,D-F
"BOSQUE, EL ",CHS
ZONGOLICA ,VER
SANTA MARIA CHILCHOTLA ,OAX
TOLUCA ,MEX
CHIMALHUACAN ,MEX
ANGEL ALBINO CORZO ,CHS
PIJIJIAPAN ,CHS
MAPASTEPEC ,CHS
ESCUINTLA ,CHS
OLINALA ,GRO
COAHUAYUTLA DE JOSE MARIA IZAZAGA ,GRO
GUSTAVO A. MADERO ,D-F
JOSE AZUETA ,GRO
SAN JUAN CANCUC ,CHS
HUAMANTLA ,TLA
HUIXQUILUCAN ,MEX
CHALCO ,MEX
PICHUCALCO ,CHS
SAN MATEO ATENCO ,MEX
TLALPAN ,D-F
MATIAS ROMERO ,OAX
SANTIAGO PINOTEPA NACIONAL ,OAX
CHAPULTENANGO ,CHS
TECPATAN ,CHS
LERMA ,MEX
IXTAPALUCA ,MEX
FRANCISCO LEON ,CHS
IXHUATAN ,CHS
HUITIUPAN ,CHS
PUEBLO NUEVO SOLISTAHUACAN ,CHS
SAN FERNANDO ,CHS
CENTRO ,TAB
ZAPOPAN ,JAL
MOTOZINTLA ,CHS
ACAPETAHUA ,CHS
TAPILULA ,CHS
TAPALAPA ,CHS
PANTEPEC ,CHS
OCOTEPEC ,CHS
AQUILA ,MIC
VILLA COMALTITLAN ,CHS
HUIXTLA ,CHS
TAPACHULA ,CHS
RAYON ,CHS
ACAPULCO DE JUAREZ ,GRO
SAN JUAN BAUTISTA TUXTEPEC ,OAX
COPAINALA ,CHS
SIMOJOVEL ,CHS
IGUALA DE LA INDEPENDENCIA ,GRO
CAMERINO Z. MENDOZA ,VER
TAXCO DE ALARCON ,GRO
SALTO DE AGUA ,CHS
REFORMA ,CHS
AMATAN ,CHS
LOMA BONITA ,OAX
SAN MATEO YOLOXOCHITLAN ,OAX
"CHOAPAS, LAS ",VER
SABANILLA ,CHS
SOLOSUCHIAPA ,CHS
COYUCA DE BENITEZ ,GRO
ARRIAGA ,CHS
SANTA CATARINA JUQUILA ,OAX
OXCHUC ,CHS
SANTA ANA ATEIXTLAHUACA ,OAX
ELOXOCHITLAN DE FLORES MAGON ,OAX
IXTLAN DE JUAREZ ,OAX
AGUA DULCE ,VER
